Koreansk,Dansk,Kategori,Pensum,Kilde,Rettet,Eksporter
Doobal dangsang chagi,"To spark efter hinanden i luften, hvor det først er et falsk spark",Benteknikker,3. kup,null,FALSE,TRUE
Doobeon,Dobbelt,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
DTaF,Dansk Taekwondo Forbund,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
DTF,Dansk Taekwondo Forbund,Diverse,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Du tchae madi,Mellemste fingerled,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dul,To ( 2 ),Tal,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Dwichook,Underside af hæl,Anatomi,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Dwichook,Underside af hæl,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dwichook-moa-seogi,Stand med samlede hæle (hilsestand),Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Dwit,Bagud / Baglæns,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Dwit koa seogi,Støttestand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dwit koomchi,Bagside af hæl,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dwit-chagi,Bagud spark,Benteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Dwit-koa-seogi,Støttestand,Stande,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Dwit-koobi,Sidestand,Stande,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Dwitkoomchi,Hæl,Anatomi,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Dwitmok,Nakke,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Eolgool,Høj sektion,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Eolgul,Høj sektion,Anatomi,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Eolgul bakatchigi,Udadgående slag m. deung-jumeok,Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Eolgul bakatmakki,Udadgående blokering i høj sektion,Håndteknikker,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Eolgul jireugi,Slag høj sektion,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Eolgulmakki,Høj sektion blokering,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Eotgeoreo,Kryds,Diverse,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Eotgeoreo,Kryds,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Eotgeoreo araemakki,Krydshånds blokering i lav sektion,Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
ETU,European Taekwondo Union,Diverse,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
ETU,Europæisk Taekwondo Union,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gam jeom,Ulovlig angreb til minuspoint,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Gan,Lever,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Gaseum,Bryst,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Gawi,Saks,Diverse,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Gawi,Saks,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gawi makki,Sakse blokering,Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Gawi sonkeut,Sakse fingerstik,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gawison keut,Sakse-fingerstik,Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Geodeup chagi,To spark m. samme ben,Benteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Geodeup chagi,To spark med samme ben (samme sparketeknik),Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Geodeureo,Støtte,Diverse,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Geodeureo arae makki,Blokering i lav sektion med støtte,Håndteknikker,3. kup,null,FALSE,TRUE
Geodeureo deung-jumeok eolgul apchigi,Omvendt knoslag i høj sektion m. støtte (som i T7),Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Geodeureo momtong makki,Blokering i midtersektion med støtte,Håndteknikker,3. kup,null,FALSE,TRUE
Geodeuro eolgol yeop makki,Høj hjælpe side blokering,Håndteknikker,3. dan,http://www.tangun.dk/images/stories/docs/3dan.pdf,FALSE,TRUE
Geuman,Stop,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gibon-joonbi-seogi,Klarstand ved grundteknik,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Gomson,Bjørnehånd,Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Gomson,Bjørneklo/Bjørnehånd,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
