Koreansk,Dansk,Kategori,Pensum,Kilde,Rettet,Eksporter
Kwon,Næve,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kyeongne,Hils (buk),Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Kyong go,Ulovlig angreb til advarsel,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Kyop pa,Gennembrydning,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kyoregi,Kamp,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Kyosa Nim,Instruktør 1.-3. Dan,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Makki,Blokering,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Me joomeok,Hammernæve/yderside af knyttet hånd,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Me Jumeok arae pyjeokchigi,Pletslag i lav sektion (i koryo poomse),Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Me palmok,Bagsiden af underarmen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Me-jumeok,Yderside af knyttet hånd,Anatomi,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Me-jumeok momtong naeryo-chigi,Nedadgående slag m. ydersiden af knyttet hånd,Håndteknikker,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Me-palmok,Underside af underarm,Anatomi,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,TRUE,TRUE
Meonge chigi,Albuestød til siderne,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Meonge paegi,Trække åg,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
